from_service,to_service,call_rate
auth,checkout,1.25
auth,fraud,1.45
billing,fraud,1.45
auth,gateway,0.65
billing,gateway,0.65
catalog,gateway,0.65
auth,inventory,0.85
billing,inventory,0.85
catalog,inventory,0.85
auth,notifications,1.05
billing,notifications,1.05
catalog,notifications,1.05
auth,orders,1.25
billing,orders,1.25
catalog,orders,1.25
auth,payments,1.45
billing,payments,1.45
catalog,payments,1.45
auth,recommendations,0.65
billing,recommendations,0.65
catalog,recommendations,0.65
auth,search,0.85
billing,search,0.85
catalog,search,0.85
auth,shipping,1.05
billing,shipping,1.05
catalog,shipping,1.05
auth,user-profile,1.25
billing,user-profile,1.25
catalog,user-profile,1.25
auth,warehouse,1.45
billing,warehouse,1.45
catalog,warehouse,1.45
